lineage	taxon	taxo_id	n
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/Calanoida/Clausocalanidae/Ctenocalanus	Ctenocalanus	92771	1
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/Calanoida/Clausocalanidae/Pseudocalanus	Pseudocalanus	80135	1303
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/Calanoida/Eucalanidae	Eucalanidae	61987	782
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/Calanoida/Temoridae/like	like<Temoridae	84984	280
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/Calanoida/with-eggs	with-eggs	93413	9
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/Copepoda X	Copepoda X	45073	36
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/Cyclopoida/Oithonidae/Oithona	Oithona	81950	1
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/Harpacticoida	Harpacticoida	45071	128
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/badfocus	badfocus<Copepoda	92042	5
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/like	like<Copepoda	85042	86235
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/nauplii	nauplii	92767	7
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/ovigerous	ovigerous	93384	38
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/copepod	copepod	25827	1
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Oligostraca/Ostracoda	Ostracoda	30815	8026
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Oligostraca/Ostracoda/like	like<Ostracoda	94163	11
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/head	head<Crustacea	92105	42
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/larvae	larvae<Crustacea	85114	58
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/leg	leg<Crustacea	92103	3
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/part	part<Crustacea	85115	56
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/tail	tail<Crustacea	92106	614
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Hexapoda/Insecta/Pterygota/Chaeteessa	Chaeteessa	50757	1
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Hexapoda/Insecta/Pterygota/Copelatus	Copelatus	50328	1
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Hexapoda/Insecta/Pterygota/Echidnophaga	Echidnophaga	50141	1
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chaetognatha	Chaetognatha	11514	7036
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chaetognatha/Phragmophora/Eukrohniidae/Eukrohnia	Eukrohnia	25922	7
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chaetognatha/head	head<Chaetognatha	92068	74
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chaetognatha/tail	tail<Chaetognatha	84968	103
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Craniata/Vertebrata/Gnathostomata	Gnathostomata	25928	513
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Craniata/Vertebrata/Gnathostomata/Actinopterygii	Actinopterygii	56693	35
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Craniata/Vertebrata/Gnathostomata/Actinopterygii/Clupeiformes temp/Clupeidae temp/Sardina temp/egg unkn temp	egg unkn temp<Sardina temp	85351	26
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Craniata/Vertebrata/Gnathostomata/Actinopterygii/Clupeiformes temp/Engraulidae temp/egg 1 temp	egg 1 temp	85340	5
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Craniata/Vertebrata/Gnathostomata/Actinopterygii/Clupeiformes temp/Engraulidae temp/egg unkn temp	egg unkn temp<Engraulidae temp	85345	856
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Craniata/Vertebrata/Gnathostomata/Actinopterygii/Teleostei	Teleostei	92790	1
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Craniata/Vertebrata/Gnathostomata/Actinopterygii/Teleostei/Elopomorpha/Anguilliformes/Eurypharynx pelecanoides	Eurypharynx pelecanoides	94143	1
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Tunicata	Tunicata	12860	2
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Tunicata/Appendicularia	Appendicularia	85123	530
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Tunicata/Appendicularia/Fritillariidae/Fritillaria	Fritillaria	56544	13
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Tunicata/Appendicularia/body	body	85030	476
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Tunicata/Appendicularia/house	house	85031	8006
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Tunicata/Appendicularia/tail	tail<Appendicularia	85004	1
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Tunicata/Thaliacea	Thaliacea	16659	46
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Tunicata/Thaliacea/Doliolida	Doliolida	25944	1304
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Tunicata/Thaliacea/Pyrosomatida	Pyrosomatida	25943	1
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Tunicata/Thaliacea/Pyrosomatida/Pyrosoma	Pyrosoma	51232	335
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Tunicata/Thaliacea/Salpida	Salpida	25942	395
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Tunicata/Thaliacea/Salpida/Salpidae	Salpidae	51236	1
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Tunicata/Thaliacea/Salpida/juvenile	juvenile	85005	192
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Chordata/Tunicata/Thaliacea/Salpida/like	like<Salpida	85043	11
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria	Cnidaria<Metazoa	11512	2170
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Anthozoa/Ceriantharia	Ceriantharia	87818	75
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Anthozoa/Hexacorallia/Zoantharia	Zoantharia	25946	4
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Cnidaria X	Cnidaria X	12867	1
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Cnidaria X/Cnidaria XX	Cnidaria XX	16665	2
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Cubozoa	Cubozoa	12866	4
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa	Hydrozoa	12865	9001
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Cnidaria	Cnidaria<Hydrozoa	16680	11
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Hydroidolina/Anthoathecata	Anthoathecata	25992	33
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Hydroidolina/Anthoathecata/Corynidae	Corynidae	51352	27
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Hydroidolina/Anthoathecata/Corynidae/Sarsia	Sarsia	72275	13
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Hydroidolina/Anthoathecata/Filifera/Bythotiaridae	Bythotiaridae	93095	6
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Hydroidolina/Anthoathecata/Ptilocodiidae/Thecocodium	Thecocodium	93092	2
