psampleid,pprojid,profile,sampleid,lat,lon,pproject
16396,95,c_m135_121,44894,-13.9993333333333,-77.5003333333333,M 135
16427,95,c_m135_134,44781,-12.9991666666667,-81.0008333333333,M 135
16402,95,c_m135_123,44783,-13.6658333333333,-76.7503333333333,M 135
16379,95,c_m135_114,44843,-14.9996666666667,-79.9996666666667,M 135
16323,95,c_m135_087,44852,-16.9993333333333,-80.0006666666667,M 135
11484,34,cce_p1106_upfront_2_05,19734,33.8373333333333,-121.708666666667,CCELTER 2011
16341,95,c_m135_098,44805,-15.9998333333333,-77.9998333333333,M 135
16244,95,c_m135_012,44841,-22.9993333333333,-71.502,M 135
16255,95,c_m135_023,44846,-21.9993333333333,-70.516333333333293,M 135
16384,95,c_m135_116,44776,-14.9988333333333,-81.005,M 135
16324,95,c_m135_088,44793,-16.9993333333333,-81.0005,M 135
16344,95,c_m135_099,44806,-16.0005,-77.0016666666667,M 135
16429,95,c_m135_135,44901,-12.9991666666667,-81.0016666666667,M 135
16332,95,c_m135_093,44816,-16.9993333333333,-85.9998333333333,M 135
13215,7,tara_065_00_e,45662,-35.2788333333333,26.3636666666667,TARA 2010
16283,95,c_m135_051,44782,-18.9981666666667,-74.0015,M 135
16292,95,c_m135_060,44794,-18.0005,-80.001,M 135
16274,95,c_m135_042,44823,-18.7888333333333,-70.8561666666667,M 135
16295,95,c_m135_063,44862,-17.9998333333333,-77.0008333333333,M 135
16245,95,c_m135_013,44911,-22.9998333333333,-72.0005,M 135
16262,95,c_m135_030,44870,-20.9991666666667,-72,M 135
16340,95,c_m135_097,44882,-15.9995,-79.0006666666667,M 135
11477,34,cce_p1106_cycle6_07,19760,32.5826666666667,-121.065333333333,CCELTER 2011
16352,2,boum020,7143,33.4753333333333,32.7165,BOUM 2008
11494,34,cce_p1106_upfront_3_03,19704,33.5856666666667,-120.910333333333,CCELTER 2011
11480,34,cce_p1106_upfront_2_02,19713,33.8005,-121.759333333333,CCELTER 2011
16511,2,boum148,7164,39.2683333333333,5.3515,BOUM 2008
16415,95,c_m135_129,44866,-12.9995,-77.6166666666667,M 135
16545,2,boum184,7110,39.2933333333333,5.19383333333333,BOUM 2008
12369,1,jerico201707a13,44960,58.3395,11.0278333333333,JERICO 2017
12252,4,lohafex_ps73_190,6165,-49.3613333333333,-15.1416666666667,LOHAFEX 2009
16342,2,boum012,7169,33.9031666666667,26.8353333333333,BOUM 2008
16073,86,ge_2016_067,11266,69.0331666666667,-59.6281666666667,GREENEDGE 2016 A
12404,1,jerico201707anholte,44958,56.6686666666667,12.1111666666667,JERICO 2017
10092,16,malina092,857,69.9846666666667,-138.6515,MALINA 2009
